user,pattern_id,pos_x,pos_y,order_no,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,valid_sign
FALSE,0,176,730,0,0,-2.042254,4.6483426,7.4962454,-0.06908886,-0.3363424,-0.010885619,FALSE
FALSE,0,201.83614,731.64844,1,105,-1.9656396,4.548983,8.688558,-0.039156463,0.015515983,0.008051205,FALSE
FALSE,0,239.03307,730,2,122,-2.0159178,4.547786,8.695741,-0.03976733,-0.024801124,0.020879375,FALSE
FALSE,0,271.58084,730,3,138,-1.9057846,4.560954,8.792706,-0.044043384,-0.027855448,0.036151007,FALSE
FALSE,0,305.52332,729,4,155,-1.8794483,4.5753193,8.810662,-0.014110988,-0.011362087,0.053866096,FALSE
FALSE,0,345.27142,727.2489,5,172,-1.7896658,4.607641,8.735245,0.010323621,0.010018196,0.06363994,FALSE
FALSE,0,392.4364,725.214,6,188,-1.7034745,4.594473,8.328231,0.021930061,0.090652406,0.07280292,FALSE
FALSE,0,441.39728,724.2155,7,205,-1.7872716,4.497508,8.516175,-0.011667527,0.09248501,0.07768984,FALSE
FALSE,0,498.60538,722.21313,8,222,-1.780089,4.474763,8.65025,-0.011667527,0.08576548,0.08318763,FALSE
FALSE,0,554.7171,722,9,238,-1.6998832,4.3981485,8.499416,-6.72E-04,0.06255261,0.0837985,FALSE
FALSE,0,609.3361,722,10,255,-1.6567876,4.414908,8.346188,-0.01899791,0.039950594,0.07524638,FALSE
FALSE,0,656.27325,724.80383,11,271,-1.62686,4.405331,8.307879,-0.040378194,0.004520409,0.07158119,FALSE
FALSE,0,694.82367,728.46295,12,288,-1.4820108,4.404134,8.318654,-0.07703011,0.006353005,0.059974752,FALSE
FALSE,0,734.3874,732.77423,13,305,-1.4903905,4.4184995,8.477868,-0.08680396,0.038728863,0.043481387,FALSE
FALSE,0,772.18365,737.56213,14,321,-1.553837,4.4484267,8.567651,-0.0806953,0.06499606,0.04164879,FALSE
FALSE,0,809.2748,740.53436,15,338,-1.6340426,4.4101195,8.4647,-0.07703011,0.11814134,0.04714658,FALSE
FALSE,0,843.42255,743.54224,16,355,-1.6424223,4.382586,8.701726,-0.09230174,0.08515462,0.051422633,FALSE
FALSE,0,879.85724,745,17,371,-1.6675615,4.3263226,8.853758,-0.072754055,0.024678962,0.040427063,FALSE
FALSE,0,909.2196,745,18,389,-1.6519991,4.2221746,8.817844,-0.041599926,-0.021746796,0.023322836,FALSE
FALSE,0,939.77893,745,19,405,-1.6986861,4.295198,8.801085,-0.029993486,-0.058398712,0.009272935,FALSE
FALSE,0,963.6161,744,20,421,-1.6747441,4.272453,8.772355,-0.03793473,-0.07672466,0.008051205,FALSE
FALSE,0,980.11456,742.3143,21,438,-1.5753847,4.2796354,8.838196,-0.039156463,-0.104213595,0.008051205,FALSE
FALSE,0,992.11664,741.26904,22,455,-1.5346833,4.3382936,8.811859,5.50E-04,-0.110933125,-0.005387832,FALSE
FALSE,0,994.29315,741,23,471,-1.5933412,4.3837833,8.647857,0.020097464,-0.09138544,-0.012107348,FALSE
FALSE,0,994.8659,741,24,488,-1.7250223,4.537012,8.264784,0.007269297,-0.043737944,-0.010274753,FALSE
FALSE,0,995,741.8798,25,506,-1.7525556,4.557363,8.146272,-0.04831944,-0.064507365,0.006218609,FALSE
FALSE,0,995,745,26,521,-1.7561469,4.5406036,8.42759,-0.07092146,-0.09138544,0.011716396,FALSE
FALSE,0,992.72064,744,27,538,-1.745373,4.510676,8.74123,-0.05748242,-0.06023131,0.025155433,FALSE
FALSE,0,990.2709,745,28,554,-1.6639702,4.380192,8.529344,-0.026328294,-0.005253434,0.04103793,FALSE
FALSE,0,987.6398,747.3602,29,571,-1.5849615,4.343082,8.53054,-0.025106562,-0.002199108,0.044092253,FALSE
FALSE,0,982.81836,751.4544,30,588,-1.5634137,4.2880154,8.617929,-0.04587598,-0.04068362,0.036151007,FALSE
FALSE,0,976.8334,758.88885,31,604,-1.5658079,4.2640734,8.756793,-0.068477996,-0.059009578,0.030653218,FALSE
FALSE,0,958.6571,778.0476,32,621,-1.5646108,4.2341456,8.689755,-0.07092146,-0.067561686,0.023933701,FALSE
FALSE,0,932.6364,795.1212,33,638,-1.447295,4.297592,8.716091,-0.084360495,-0.14269811,0.024544567,FALSE
FALSE,0,902.53326,821.65137,34,654,-1.3814543,4.309563,8.676587,-0.0929126,-0.12376128,0.027598891,FALSE
FALSE,0,867.0724,861.5421,35,671,-1.411382,4.286818,8.799889,-0.08924741,-0.11032225,0.01904678,FALSE
FALSE,0,823.76074,905.7484,36,687,-1.472434,4.26527,9.041702,-0.05503896,-0.08466591,0.013548992,FALSE
FALSE,0,778.9458,950.32446,37,704,-1.4688427,4.237737,8.516175,-0.006780606,-0.02907718,0.003164282,FALSE
FALSE,0,734.4801,994.3662,38,721,-1.508347,4.1958385,8.599973,-0.010445796,-0.03946189,-5.01E-04,FALSE
FALSE,0,688.1835,1029.1505,39,737,-1.5454572,4.23654,8.571242,5.50E-04,-0.027855448,0.004386012,FALSE
FALSE,0,646.14557,1064.4972,40,754,-1.5682021,4.2173862,8.374918,-0.010445796,-0.07000515,-0.005387832,FALSE
FALSE,0,598.50195,1100.332,41,770,-1.6005238,4.308366,8.3821,-0.034880407,-0.09260717,-0.010274753,FALSE
FALSE,0,552.5388,1127.1737,42,787,-1.5334862,4.2820296,8.51019,-0.097799525,-0.115820035,0.004386012,FALSE
FALSE,0,509.1439,1156.6515,43,804,-1.4329298,4.272453,8.737639,-0.12040154,-0.1463633,0.015992453,FALSE
FALSE,0,472.64514,1183.3473,44,820,-1.3706805,4.2425256,8.752005,-0.11795808,-0.13170254,0.014159856,FALSE
FALSE,0,437.19897,1201.7382,45,837,-1.316811,4.2078094,9.03452,-0.106351644,-0.077946395,0.02026851,FALSE
FALSE,0,404.8586,1226.7892,46,854,-1.2856863,4.261679,9.120711,-0.0525955,-0.026022851,0.026377162,FALSE
FALSE,0,371.6614,1250.4617,47,870,-1.246182,4.2221746,9.002198,-0.028771754,-0.007696897,0.02026851,FALSE
FALSE,0,343.42575,1270.9766,48,887,-1.2330139,4.187459,9.039309,-0.010445796,-0.020525064,0.001942552,FALSE
FALSE,0,316.10406,1291.5973,49,904,-1.3395559,4.0857053,8.896853,0.034758233,-0.027855448,-0.012718214,FALSE
FALSE,0,287.83273,1312.2029,50,920,-1.423353,4.104859,8.774749,0.046975538,-0.047403138,-0.018826867,FALSE
FALSE,0,264.0816,1330.4026,51,937,-1.340753,4.1922474,8.295909,0.03231477,-0.079779,-0.011496484,FALSE
FALSE,0,242.96687,1344.8363,52,953,-1.2808979,4.2341456,8.467094,-0.018387046,-0.07367034,-0.005998697,FALSE
FALSE,0,220.3881,1353.4043,53,970,-1.270124,4.23654,8.541314,-0.022663102,-0.055344384,-0.005998697,FALSE
FALSE,0,202.43097,1365.2635,54,987,-1.377863,4.2173862,8.432379,-0.023884833,-0.022968527,-0.013939945,FALSE
FALSE,0,190.5516,1374.4484,55,1003,-1.5251064,4.2556934,8.495825,-0.042821653,-0.024190258,-0.013329079,FALSE
FALSE,0,184.36325,1380.2736,56,1020,-1.5011644,4.292804,8.528147,-0.05320636,-0.035185833,-0.002944371,FALSE
